Name,Start_year,Coordinates,Longitude,Latitude,Region,Website
Abhainn_Dearg ,1829,"58.1703253,-7.0474967",-7.0474967,58.1703253,Island,https://abhainndeargdistillery.co.uk/
The_Isle_Of_Harris ,2015,"57.897603,-6.8061647",-6.8061647,57.897603,Island,https://harrisdistillery.com/
Scapa,1959,"58.9483956,-2.9943462",-2.9943462,58.9483956,Island,https://www.scapawhisky.com/
Highland_Park,1800,"58.9678049,-2.9578379",-2.9578379,58.9678049,Island,https://www.highlandparkwhisky.com/en/distillery
Wolfburn,1821,"58.595703,-3.5552484",-3.5552484,58.595703,Highland,https://wolfburn.com/
Pulteney,1826,"58.4350116,-3.086938",-3.086938,58.4350116,Highland,https://www.oldpulteney.com/
Brora,1819,"58.0133751,-3.8685965",-3.8685965,58.0133751,Highland,https://www.malts.com/en-gb/distilleries/brora
Thompson_Bros,2016,"57.8794807,-4.0325956",-4.0325956,57.8794807,Highland,https://www.thompsonbrosdistillers.com/
Glenmorangie,1843,"57.8215642,-4.0823969",-4.0823969,57.8215642,Highland,https://www.glenmorangie.com/en-us
Balblair,1790,"57.8326652,-4.1888198",-4.1888198,57.8326652,Highland,https://www.balblair.com/
Invergordon,1960,"57.6924731,-4.1861645",-4.1861645,57.6924731,Highland,https://www.whisky.com/whisky-database/distilleries/details/invergordon.html
Dalmore,1867,"57.6882403,-4.2414038",-4.2414038,57.6882403,Highland,https://www.thedalmore.com/
Teaninich,1817,"57.6915381,-4.2627292",-4.2627292,57.6915381,Highland,
Glenwyies,2015,"57.6149778,-4.4572249",-4.4572249,57.6149778,Highland,https://glenwyvis.com/
Talisker,1830,"57.3023362,-6.3589378",-6.3589378,57.3023362,Island,https://www.malts.com/en-row/distilleries/talisker
Isle_of_Raasay,2013,"57.351078,-6.0757455",-6.0757455,57.351078,Island,https://raasaydistillery.com/
Glen_Ord,1838,"57.5222184,-4.476956",-4.476956,57.5222184,Highland,
Torabhaig,1820,"57.1127565,-5.850859",-5.850859,57.1127565,Island,https://www.torabhaig.com/
Ardnamurchan,1826,"56.6914838,-5.9428462",-5.9428462,56.6914838,Highland,https://www.adelphidistillery.com/
Tobermory,1797,"56.6207342,-6.0719887",-6.0719887,56.6207342,Island,https://tobermorydistillery.com/
NC'Nean,2017,"56.623656,-5.9922647",-5.9922647,56.623656,Highland,https://ncnean.com/
Oban,1794,"56.4149767,-5.4744593",-5.4744593,56.4149767,Highland,
Ben_Nevis,1825,"56.8347322,-5.0763894",-5.0763894,56.8347322,Highland,https://www.bennevisdistillery.com/
Jura,1810,"55.8297144,-5.9519811",-5.9519811,55.8297144,Island,https://www.jurawhisky.com/en/distillery/#1
Caol_Ila,1846,"55.8540991,-6.1115274",-6.1115274,55.8540991,Islay,
Ardnahoe,1960,"55.8672605,-6.1238244",-6.1238244,55.8672605,Islay,https://ardnahoedistillery.com/
Bunnahabhain,1881,"55.883412,-6.1288755",-6.1288755,55.883412,Islay,https://bunnahabhain.com/
Kilchoman,2005,"55.7808988,-6.4462385",-6.4462385,55.7808988,Islay,https://www.kilchomandistillery.com/?v=dd65ef9a5579
Bruichladdich,1881,"55.7662686,-6.3629446",-6.3629446,55.7662686,Islay,https://www.bruichladdich.com/
Bowmore,1779,"55.7569,-6.2921887",-6.2921887,55.7569,Islay,https://www.bowmore.com/
Lagavulin,1816,"55.6357857,-6.1272043",-6.1272043,55.6357857,Islay,https://www.malts.com/en-row/distilleries/lagavulin
Ardbeg,1815,"55.6404549,-6.1095718",-6.1095718,55.6404549,Islay,https://www.ardbeg.com/en-int
Laphroaig,1815,"55.6321896,-6.1521344",-6.1521344,55.6321896,Islay,https://www.laphroaig.com/en/
Lochlea,2018,"55.542,-4.4495777",-4.4495777,55.542,Lowland,https://www.lochleadistillery.com/
William_Grant,1887,"55.2592347,-4.8331469",-4.8331469,55.2592347,Lowland,https://www.williamgrant.com/
Bladnoch,1817,"54.8579735,-4.4630496",-4.4630496,54.8579735,Lowland,https://bladnoch.com/?location=int
Arran,1997,"55.5772296,-5.5187222",-5.5187222,55.5772296,Island,https://www.arranwhisky.com/
Lagg,2018,"55.4456901,-5.2503118",-5.2503118,55.4456901,Island,https://www.laggwhisky.com/
Springbank,1828,"55.4254388,-5.6111402",-5.6111402,55.4254388,Campbelltown,http://springbank.scot/
Kilkerran,2000,"55.4254646,-5.610957",-5.610957,55.4254646,Campbelltown,https://kilkerran.scot/
Glen Scotia,1832,"55.4295212,-5.6063909",-5.6063909,55.4295212,Campbelltown,https://www.glenscotia.com/
Annandale,1836,"55.0023117,-3.2628521",-3.2628521,55.0023117,Lowland,https://annandaledistillery.com/
The_Borders_Distillery,2018,"55.42453,-2.7908792",-2.7908792,55.42453,Lowland,https://www.thebordersdistillery.com/
Falkirk_Distillery,2012,"55.994722,-3.7267386",-3.7267386,55.994722,Lowland,https://www.falkirkdistillery.com/
Glenkinchie,1837,"55.8906004,-2.8935169",-2.8935169,55.8906004,Lowland,https://www.malts.com/en-gb/distilleries/glenkinchie
Holyrood_Distillery,2018,"55.9430559,-3.1796826",-3.1796826,55.9430559,Lowland,https://www.holyrooddistillery.co.uk/
Crabbie,1801,"55.9541556,-3.2262282",-3.2262282,55.9541556,Lowland,https://crabbiewhisky.com/
The_North_British_Distillery,1885,"55.9390929,-3.2387305",-3.2387305,55.9390929,Lowland,https://www.thenorthbritish.co.uk/
Starlaw,2010,"55.8892059,-3.5806918",-3.5806918,55.8892059,Lowland,
Jackton,2020,"55.7521645,-4.2527063",-4.2527063,55.7521645,Lowland,https://www.raer.co.uk/
Strathclyde_Distillery,1927,"55.8484363,-4.2430598",-4.2430598,55.8484363,Lowland,https://www.chivasbrothers.com/
Clydeside,2017,"55.8625317,-4.2992713",-4.2992713,55.8625317,Lowland,https://www.theclydeside.com/
Glasgow_Distillery,1770,"55.8634916,-4.364242",-4.364242,55.8634916,Lowland,https://www.glasgowdistillery.com/
Auchentoshan,1823,"55.9229427,-4.4402652",-4.4402652,55.9229427,Lowland,https://www.auchentoshan.com/history
Loch_Lomond_Whisky,1814,"55.9918366,-4.5768264",-4.5768264,55.9918366,Highland,https://www.lochlomondwhiskies.com/pages/distillery
Glengoyne,1820,"56.0141507,-4.3654685",-4.3654685,56.0141507,Highland,https://www.glengoyne.com/
Deanston,1965,"56.1888383,-4.0724098",-4.0724098,56.1888383,Highland,https://deanstonmalt.com/
Glenturret,1763,"56.3891567,-3.8552757",-3.8552757,56.3891567,Speyside,https://www.theglenturret.com/
Strathearn,2013,"56.3958169,-3.6222731",-3.6222731,56.3958169,Highland,https://www.strathearndistillery.com/
Tullibardine,1947,"56.2580734,-3.7872248",-3.7872248,56.2580734,Highland,https://www.tullibardine.com/
Inchdarinie,2015,"56.1816647,-3.2171143",-3.2171143,56.1816647,Lowland,http://inchdairniedistillery.com/
Cameron_Bridge,1824,"56.1890767,-3.0603658",-3.0603658,56.1890767,Lowland,
Lindoresabby,2017,"56.3517633,-3.2272744",-3.2272744,56.3517633,Lowland,https://lindoresabbeydistillery.com/
Kingsbarn,2014,"56.2875193,-2.6447066",-2.6447066,56.2875193,Lowland,https://www.kingsbarnsdistillery.com/
Edenmill,2018,"55.8617942,-4.113321",-4.113321,55.8617942,Lowland,https://www.edenmill.com/
Daftmill,2005,"56.2971493,-3.1062164",-3.1062164,56.2971493,Lowland,https://www.daftmill.com/
Aberargie,2017,"56.3292593,-3.3512907",-3.3512907,56.3292593,Lowland,https://www.morrisondistillers.com/distillery
Aberfeldy,1896,"56.6236589,-3.8529437",-3.8529437,56.6236589,Highland,https://www.dewars.com/gl/en/aberfeldydistillery/
Blair Athol,1798,"56.6989089,-3.7250557",-3.7250557,56.6989089,Highland,
Edradour,1825,"56.7021643,-3.7017021",-3.7017021,56.7021643,Highland,https://www.edradour.com/
Arbikie,2018,"56.6645893,-2.529187",-2.529187,56.6645893,Highland,https://arbikie.com/
Glencadam,1825,"56.7361488,-2.6556489",-2.6556489,56.7361488,Highland,https://www.glencadamwhisky.com/
Fettercairn,1824,"56.8532301,-2.5840553",-2.5840553,56.8532301,Highland,https://www.fettercairnwhisky.com/en
Dalwhinnie,1898,"56.939995,-4.2413287",-4.2413287,56.939995,Speyside,
Speyside,1895,"57.0726327,-4.0042767",-4.0042767,57.0726327,Speyside,https://speysidedistillery.co.uk/
Royal_Lochnagar,1845,"57.030076,-3.2108769",-3.2108769,57.030076,Highland,
Deeside ,2017,"57.0638887,-2.5029836",-2.5029836,57.0638887,Highland,http://www.deesidedistillery.net/
Tamnavulin,1966,"57.3180198,-3.3105859",-3.3105859,57.3180198,Speyside,https://www.tamnavulinwhisky.com/the-distillery/
Glenlivet,1822,"57.353992,-3.3427707",-3.3427707,57.353992,Speyside,https://www.theglenlivet.com/en-UK
Ardmore,1898,"57.3515919,-2.7476334",-2.7476334,57.3515919,Highland,https://www.ardmorewhisky.com/
Glengarioch,1797,"57.3381982,-2.3216773",-2.3216773,57.3381982,Highland,https://www.glengarioch.com/
Tomintoul,1964,"57.3121947,-3.4142684",-3.4142684,57.3121947,Speyside,https://www.tomintoulwhisky.com/
Tomatin,1978,"57.339673,-4.0110717",-4.0110717,57.339673,Highland,https://www.tomatin.com/home-1
Balmenach,1824,"57.3254084,-3.5342959",-3.5342959,57.3254084,Speyside,
Braeval,1973,"57.2713235,-3.2611901",-3.2611901,57.2713235,Speyside,
Dailuaine,1852,"57.4524554,-3.2753538",-3.2753538,57.4524554,Speyside,
Benrinnes,1826,"57.4412516,-3.2404416",-3.2404416,57.4412516,Speyside,
Glenallachie,1967,"57.4553203,-3.2303275",-3.2303275,57.4553203,Speyside,https://theglenallachie.com/
Aberlour,1879,"57.467945,-3.2314033",-3.2314033,57.467945,Speyside,https://www.maltwhiskydistilleries.com/aberlour/distillery
Tormore,1958,"57.3979479,-3.4106487",-3.4106487,57.3979479,Speyside,http://www.tormoredistillery.com/tormore-distillery/
Ballindalloch,1896,"57.4053802,-3.3706076",-3.3706076,57.4053802,Speyside,https://www.ballindallochdistillery.com/
Cragganmore,1869,"57.4098521,-3.3957316",-3.3957316,57.4098521,Speyside,
Glenfarclas,1836,"57.4269944,-3.3184804",-3.3184804,57.4269944,Speyside,https://glenfarclas.com/our-home/
Tamdhu,1897,"57.4584465,-3.3565588",-3.3565588,57.4584465,Speyside,https://www.tamdhu.com/
Knockando,1898,"57.4562778,-3.3456071",-3.3456071,57.4562778,Speyside,
Cardhu,1824,"57.470459,-3.3522627",-3.3522627,57.470459,Speyside,
Dalmunach,2015,"57.4547841,-3.3027347",-3.3027347,57.4547841,Speyside,
Mortlach,2021,"57.4429518,-3.1253958",-3.1253958,57.4429518,Speyside,https://www.mortlach.com/
Glenfiddich,1887,"57.4528443,-3.1325579",-3.1325579,57.4528443,Speyside,https://www.glenfiddich.com/
Macallan,1824,"57.4905775,-3.2058651",-3.2058651,57.4905775,Speyside,https://www.themacallan.com/en/distillery
Kininvie ,1990,"57.4595521,-3.1292217",-3.1292217,57.4595521,Speyside,
Craigellachie ,1891,"57.4884603,-3.1866891",-3.1866891,57.4884603,Speyside,
Dufftown ,1895,"57.4359175,-3.1302854",-3.1302854,57.4359175,Speyside,
Glendullan,1897,"57.4359175,-3.1302854",-3.1302854,57.4359175,Speyside,
Glenglassaugh,1875,"57.6795021,-2.740238",-2.740238,57.6795021,Highland,https://www.glenglassaugh.com///
Knockdhu,1894,"57.5634199,-2.7607994",-2.7607994,57.5634199,Speyside,https://ancnoc.com/the-distillery/
Inchgower,1871,"57.6616865,-2.9640591",-2.9640591,57.6616865,Speyside,
Glendronnach,1826,"57.4844932,-2.6280307",-2.6280307,57.4844932,Highland,https://www.glendronachdistillery.com/
Macduff,1962,"57.657921,-2.5139916",-2.5139916,57.657921,Highland,
Benromach,1898,"57.6135649,-3.6222059",-3.6222059,57.6135649,Speyside,https://www.benromach.com/
Benriach,1898,"57.6112779,-3.2938038",-3.2938038,57.6112779,Speyside,https://www.benriachdistillery.com///
Glenrothes,1879,"57.5264625,-3.2180864",-3.2180864,57.5264625,Speyside,https://www.theglenrothes.com/en
Glengrant,1840,"57.529835,-3.2102857",-3.2102857,57.529835,Speyside,https://www.glengrant.com/
Speyburn,1897,"57.536468,-3.2182747",-3.2182747,57.536468,Speyside,https://www.speyburn.com/
Glentauchers,1897,"57.5351295,-3.0516193",-3.0516193,57.5351295,Speyside,https://www.gordonandmacphail.com/our-whiskies/distilleries/glentauchers/#
Strathmill,1891,"57.5404001,-2.9639381",-2.9639381,57.5404001,Speyside,https://www.malts.com/en-row/brands/strathmill
Strathisla,1786,"57.5465613,-2.9563805",-2.9563805,57.5465613,Speyside,https://www.maltwhiskydistilleries.com/strathisla/
Glen_Spey,1878,"57.5257883,-3.2120571",-3.2120571,57.5257883,Speyside,
Glen_Keith,1957,"57.5468314,-2.9594777",-2.9594777,57.5468314,Speyside,
Aultmore ,1896,"57.5675492,-3.004304",-3.004304,57.5675492,Speyside,
Mannochmore,1971,"57.6006981,-3.3139831",-3.3139831,57.6006981,Speyside,
Miltonduff,1824,"57.6235059,-3.3703504",-3.3703504,57.6235059,Speyside,
Roseisle_Maltings,2010,"57.6687965,-3.476185",-3.476185,57.6687965,Speyside,
Glenburgie,1810,"57.6217052,-3.5186938",-3.5186938,57.6217052,Speyside,
Royal_Brackla,1812,"57.5389249,-3.9042346",-3.9042346,57.5389249,Highland,